2018-01-22 21:12:23,459 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:23,659 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:23,859 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:24,059 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:24,259 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:24,459 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:24,659 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:24,859 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:25,063 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:25,263 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:25,463 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:25,663 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:25,863 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:26,063 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:26,263 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:26,463 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:26,663 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:26,864 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:27,064 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:27,267 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:27,467 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
2018-01-22 21:12:27,667 - INFO - args: (<__main__.Handler object at 0x03980A30>, [], {}, [])  - write_responses - __main__
